name,value,year,lastValue,rank
Empleo Adecuado/Pleno,2737158.47,2007,0,1
Subempleo por insuficiencia de tiempo de trabajo,860315.32,2007,0,3
Subempleo por insuficiencia de ingresos,295556.35,2007,0,5
Empleo no remunerado,557146.38,2007,0,4
Otro Empleo no pleno,1504000.48,2007,0,2
Empleo no clasificado,65155.06,2007,0,6
Empleo Adecuado/Pleno,2750595.29,2008,2737158.47,1
Subempleo por insuficiencia de tiempo de trabajo,846132.34,2008,860315.32,3
Subempleo por insuficiencia de ingresos,284566.81,2008,295556.35,5
Empleo no remunerado,614171.59,2008,557146.38,4
Otro Empleo no pleno,1688693.48,2008,1504000.48,2
Empleo no clasificado,61065.48,2008,65155.06,6
Empleo Adecuado/Pleno,2858658.62,2008,2750595.29,1
Subempleo por insuficiencia de tiempo de trabajo,704515.97,2008,846132.34,3
Subempleo por insuficiencia de ingresos,253462.34,2008,284566.81,5
Empleo no remunerado,523927.85,2008,614171.59,4
Otro Empleo no pleno,1649349.42,2008,1688693.48,2
Empleo no clasificado,15480.80,2008,61065.48,6
Empleo Adecuado/Pleno,2565690.78,2009,2858658.62,1
Subempleo por insuficiencia de tiempo de trabajo,764485.84,2009,704515.97,3
Subempleo por insuficiencia de ingresos,307129.38,2009,253462.34,5
Empleo no remunerado,582203.84,2009,523927.85,4
Otro Empleo no pleno,1778578.39,2009,1649349.42,2
Empleo no clasificado,127046.91,2009,15480.80,6
